1106 1120
1 330 6
2 913 10
3 189 1
4 187 6
5 815 9
6 1073 1
7 406 6
8 281 10
9 75 10
9 961 10
10 806 2
11 797 6
12 526 9
13 893 9
14 915 2
15 48 4
16 869 9
17 574 2
18 384 5
19 456 9
20 44 4
21 404 10
22 753 10
23 1090 5
24 679 4
25 990 3
26 903 9
27 801 5
28 235 9
29 58 4
30 146 3
31 65 8
32 30 7
33 948 7
34 1010 4
35 955 7
36 764 9
37 171 9
38 358 5
39 659 6
40 967 2
41 871 6
42 582 8
43 229 1
44 1102 9
45 597 2
46 29 2
47 781 5
48 211 10
49 225 9
50 398 1
51 1036 2
52 733 10
53 675 6
54 69 4
55 388 7
56 1092 5
56 320 5
57 1026 3
58 683 1
59 418 9
60 589 2
61 535 8
62 1103 1
63 716 5
64 369 8
65 459 1
66 710 4
67 475 10
68 661 1
69 68 1
70 877 1
71 600 8
72 539 1
73 803 2
74 309 5
75 1068 2
76 258 3
77 823 8
78 747 1
79 332 8
80 814 8
81 292 4
82 35 3
83 954 3
84 514 10
85 479 5
86 572 10
87 1095 5
88 758 8
89 516 9
90 1050 2
91 241 10
92 842 7
93 420 7
94 857 8
95 326 10
96 78 4
97 663 1
98 204 8
99 310 10
100 688 10
101 60 2
102 128 6
103 507 8
104 768 8
105 97 9
106 109 8
107 1008 1
108 664 5
109 375 2
110 746 9
111 1018 2
112 89 2
113 12 7
114 55 3
115 484 7
116 226 6
117 376 9
118 167 10
119 924 4
120 1007 3
121 373 10
122 647 1
123 567 10
124 940 8
125 216 1
126 898 3
127 1067 3
128 163 5
129 702 8
130 467 5
131 119 2
132 98 9
133 809 10
134 207 1
135 860 1
136 1004 6
137 249 6
138 1012 7
139 887 7
140 19 8
141 28 8
142 561 8
143 1085 2
144 338 1
144 714 7
145 50 3
146 520 5
147 640 4
148 77 2
149 759 7
150 1074 8
151 637 2
152 1046 3
153 1078 5
154 336 1
155 74 2
156 132 7
157 284 10
158 1014 1
159 1021 1
160 923 3
161 233 8
162 844 10
163 256 6
164 31 6
165 287 10
166 107 5
167 541 8
168 799 2
